,subjectId,abdominalextensiondepthsitting,acromialheight,acromionradialelength,anklecircumference,axillaheight,balloffootcircumference,balloffootlength,biacromialbreadth,bicepscircumferenceflexed,bicristalbreadth,bideltoidbreadth,bimalleolarbreadth,bitragionchinarc,bitragionsubmandibulararc,bizygomaticbreadth,buttockcircumference,buttockdepth,buttockheight,buttockkneelength,buttockpopliteallength,calfcircumference,cervicaleheight,chestbreadth,chestcircumference,chestdepth,chestheight,crotchheight,crotchlengthomphalion,crotchlengthposterioromphalion,earbreadth,earlength,earprotrusion,elbowrestheight,eyeheightsitting,footbreadthhorizontal,footlength,forearmcenterofgriplength,forearmcircumferenceflexed,forearmforearmbreadth,forearmhandlength,functionalleglength,handbreadth,handcircumference,handlength,headbreadth,headcircumference,headlength,heelanklecircumference,heelbreadth,hipbreadth,hipbreadthsitting,iliocristaleheight,interpupillarybreadth,interscyei,interscyeii,kneeheightmidpatella,kneeheightsitting,lateralfemoralepicondyleheight,lateralmalleolusheight,lowerthighcircumference,mentonsellionlength,neckcircumference,neckcircumferencebase,overheadfingertipreachsitting,palmlength,poplitealheight,radialestylionlength,shouldercircumference,shoulderelbowlength,shoulderlength,sittingheight,sleevelengthspinewrist,sleeveoutseam,span,stature,suprasternaleheight,tenthribheight,thighcircumference,thighclearance,thumbtipreach,tibialheight,tragiontopofhead,trochanterionheight,verticaltrunkcircumferenceusa,waistbacklength,waistbreadth,waistcircumference,waistdepth,waistfrontlengthsitting,waistheightomphalion,weightkg,wristcircumference,wristheight,SubjectNumericRace,DODRace,Age,Heightin,Weightlbs
subjectId,1.0,-0.013788695327340715,0.004099566718330416,0.022716977606761543,-0.03147016858358103,0.004606016904537296,0.0008970450831081913,0.0333914543821605,-0.029601203453312352,-0.010903484040830629,0.009385455640763495,-0.02499564526618483,0.023793355745045573,-0.025620310582897397,0.001943022993864878,-0.015463386247377035,-0.0055443947811613875,-0.020884510561766684,-0.027062286819979367,0.0018335573052849598,0.029145584821914008,-0.023269259676447177,0.0021542355841123453,-0.0020641106477827346,-0.010344470640931611,-0.016754729439998044,0.02137595005335178,0.01453138924049107,-0.0032280453806787777,-0.05573736598242158,0.05452527440842645,-0.03708571050178503,-0.02432020765978253,0.03250630536129666,-0.017457027841489885,0.03376437117333003,-0.01251370047372171,-0.022296989195649725,-0.011099580065666552,-0.03104942770424434,0.005044988441551843,-0.04043402986794231,-0.005528567641213887,-0.025465539420004374,0.01351876408433664,0.0027800153689655177,-0.02294904186514965,-0.020797468205739984,-0.014871301753121745,0.0403517092073165,0.001523172818631941,-0.02429410509575936,-0.023340355335035704,-0.017295974921627218,-0.012959559707102384,-0.023580586996906804,0.013214939632296219,0.0037922023352724384,0.041301732167383406,-0.06634916791449438,-0.0053789717866647505,-0.004032877228688615,0.0028316943526264867,0.03989621605600406,-0.06518800332637499,-0.011981929633654008,0.0443745293746193,-0.024771779606917073,-0.047686700082440435,-0.010951618896579758,-0.06738000048091347,-0.008308589673632455,0.003746496078872731,0.01240767980349565,-0.015374703608472534,-0.001201287086485887,-0.004861674805064252,0.0010193811457870374,-0.013937984115338215,-0.04093352510067595,-0.035017669365726055,0.006657972789280654,0.033461751287577036,0.0049838398147812575,-0.0017024077467434435,0.017844859981797082,-0.009750802247147094,-0.009538998567495271,0.007297873330362434,-0.0029844198913860642,-0.009188413569856096,-0.0102132422297148,-0.01035642357535492,0.016270665945993714,0.008103061627902322,0.028522930221953045,-0.01817346946611698,0.008400753183715023,-0.014048687808535385
abdominalextensiondepthsitting,-0.013788695327340715,1.0,0.21494742891192478,0.23722176622560645,0.3727194511066896,0.15188557750337223,0.3169269035661201,0.24191683526173832,0.22526123814805504,0.7297285332292981,0.6115212894634391,0.7349952664879618,0.23621853717377603,0.369846911603941,0.472669799043138,0.3261730224079797,0.745055947861728,0.7895596747327592,0.23779812046299614,0.4862834497464662,0.3533321508683949,0.5477357139259065,0.1870115087949023,0.5927810453462459,0.7891441108453467,0.7657212740894448,0.08797893456742865,0.0991421202592478,0.3414378066732131,0.11119265299991754,0.1007439410070901,0.2293498651324422,0.011238088512853628,0.03829455867292854,0.07204580569142782,0.3181259172161395,0.24586739929717702,0.25516891362409255,0.637332513994627,0.7294374483092049,0.21402438523725603,0.355232554096003,0.2697874389158644,0.3296444106706469,0.22495565361626735,0.15406795044365873,0.22523098927192628,0.1824571279186293,0.40740875313234487,0.35430852982352334,0.6436671534812185,0.6498725826558036,0.18989143881526743,0.15027046962189816,0.5386505901841507,0.4366910027701238,0.1943123607793994,0.2532662116995255,0.18121485160881248,0.10630220892691372,0.5994599593790638,0.18000320872175854,0.6843384580114092,0.5810347288044733,0.15616971137103958,0.2167372292381332,-0.017517572848044005,0.21133469845653743,0.651192326841137,0.18423455823025595,0.11048299431003146,0.07380675015358155,0.31663016483328593,0.20152913510550682,0.21171371200091446,0.1743578910424172,0.22217741171196764,0.1960715500693885,0.7201663329934442,0.672407936545859,0.3143720320995315,0.18915320484955817,0.1308790064955797,0.18659687180168308,0.6191645974385386,0.49964286996261403,0.8193214374634079,0.9106528582814725,0.9300267842910179,0.5046569940938518,0.01795617550702498,0.7912895471791737,0.4746765894440866,0.20589793310559684,0.06305625203133956,-5.5120523184521104e-05,0.2932281246491504,0.17086100431481321,0.7676670538569499
acromialheight,0.004099566718330416,0.21494742891192478,1.0,0.8110588784954579,0.3501973925355028,0.9815809623726197,0.4686756369474937,0.6768991530103236,0.5116990323129998,0.27831751398074495,0.40861953910591087,0.3844645792967245,0.5064105921508708,0.33475672656693745,0.32646863754164174,0.19830220063464174,0.4029499044407693,0.278900494092874,0.8551572099681873,0.7640617919107577,0.7483494587111891,0.34152855043550945,0.974861871036773,0.36885800853322154,0.30435198720124823,0.2730303463441816,0.9144554017198808,0.856999885193108,0.45403413866439474,0.3732658664299353,0.15228212081312306,0.20348620933699965,0.05138721006617584,0.14468067831138087,0.676979331940326,0.39756204786771027,0.7089657896329806,0.7265974186605194,0.37504592425117256,0.34203833720953547,0.753597578633245,0.8451750665044424,0.45979704391406157,0.45998315344124596,0.640232426958377,0.14466223584224153,0.28995685184901476,0.334484466468229,0.6436549615738404,0.25787890860111184,0.4055569023048119,0.3888025421130979,0.9206325029293514,0.20515413887948936,0.2663957066035754,0.35437311679250527,0.8590993666896198,0.883988060344122,0.814165564971905,0.42547524803050185,0.33033922547286254,0.28546930595036124,0.32351157934292013,0.40463949399845606,0.7914040367608288,0.5879625553290199,0.8085070186852079,0.6895034929322804,0.47608281776083355,0.8280679376241877,0.32046002582385774,0.6978044610918009,0.797518812701501,0.8059643784795318,0.8055014243296056,0.9719707651552001,0.9757251276853525,0.9446891450398652,0.34121387516868745,0.34746402827060235,0.6712028187578757,0.8649125481567743,0.17597509281457377,0.8687395212556273,0.6469163732317351,0.49589319014783084,0.3110987790415304,0.2690678132602695,0.19889948173762315,0.43291547047708406,0.9075943935323566,0.5564789167158092,0.53189263699528,0.888409034803059,0.03131505718265985,-0.19584053428761944,0.03922644183077982,0.8963964881650861,0.5536474327109119
acromionradialelength,0.022716977606761543,0.23722176622560645,0.8110588784954579,1.0,0.25905989506334925,0.7919805465281594,0.39897090954659103,0.616667445755102,0.47222526819886734,0.2768698870932696,0.34560591232850946,0.38066387727781087,0.410961729768089,0.33620125740730517,0.3134277947350696,0.19326785823664555,0.37650285105738984,0.29010005848029874,0.7917537627867445,0.7365869751368213,0.7436240364092275,0.308764647684587,0.8064111102701149,0.3124766309438927,0.2926975873376632,0.27239265679077657,0.7704444595392717,0.8056914059645918,0.34906079996957917,0.24628442417295476,0.13126037823446984,0.17494298830215382,0.012773394493082714,-0.19293944265317303,0.4232807814770754,0.3406602571877779,0.6423600545389965,0.7285166348220388,0.34919095986097315,0.33959705780740906,0.7553658394737968,0.7448656152937102,0.40934236160121323,0.40000542987298826,0.6283001499500229,0.10862268795994309,0.28393347900017507,0.29977518267667025,0.5707912434260969,0.2914531586614699,0.3653295576157704,0.35033910481290337,0.807121614303466,0.23824283199464452,0.27152018519791277,0.35666846532058377,0.7942017515734378,0.8097895112343557,0.7811965025105502,0.2837422041718677,0.31205010216927864,0.22590493367267353,0.30691128045983346,0.3894025973688892,0.6746111019740878,0.5546758724645773,0.7396962858007865,0.6870165515205748,0.4666475232342409,0.9452352880084424,0.2966788397289539,0.4505645992498381,0.8500241239852305,0.9205530911650704,0.8454529835479572,0.7928688986434055,0.8071194461601983,0.8025670889444939,0.32546504338094134,0.306921449937267,0.6918829735485242,0.7888240040226938,0.15773181323877605,0.8070864447169386,0.4673091844145302,0.3715772671734189,0.2881838141715549,0.2727905214512455,0.2428135665365864,0.3213337130723757,0.7871481310305464,0.5106301542427563,0.4511311945929687,0.5471740756442998,0.05381165537530495,-0.16193572555467886,0.05780489022689317,0.7281640481009837,0.5051082463566757
anklecircumference,-0.03147016858358103,0.3727194511066896,0.3501973925355028,0.25905989506334925,1.0,0.32468380497154226,0.5902844710318486,0.4139884912455256,0.3269827771634474,0.4995699764036877,0.3919638654218773,0.4633806560199014,0.6271492483834122,0.27771575571893653,0.25718151776571735,0.25364610628599726,0.532623294916824,0.44821005306233336,0.24193147550212377,0.39410558202416424,0.24749112697716044,0.7662541516788883,0.3494825431007534,0.421601842079602,0.3939113387338515,0.38044006261265123,0.29470140653537974,0.21291988152009822,0.4435211396658552,0.31561249123299917,0.044072727474361896,0.20807349222711985,0.11766242690220335,0.1721903056159977,0.3784055779155061,0.48815625115571337,0.42835461593305757,0.25521263716356657,0.5671811704395299,0.42438894554329687,0.26177001716396026,0.3686738146294289,0.3812492569628891,0.4743806074696718,0.30165492176045045,0.15304682808635223,0.24468807855523464,0.2623810931860472,0.6454483831750163,0.3941521560780934,0.49462156607167274,0.49683397696563086,0.29434477737225784,0.09606449975101809,0.296024703242206,0.3051659987098241,0.25410280175052946,0.3666894635457038,0.25876125659023225,0.3134916760069317,0.664762949418147,0.20928053095665455,0.3891327199717652,0.40740196435823317,0.3389207365310429,0.3075578919545771,0.13566988275151928,0.20961090108912195,0.47997606573391,0.27024394506123806,0.17055876455412639,0.3939067884529742,0.3692030164362468,0.23032419098346843,0.27452727374265,0.3682039258738736,0.37325509965286785,0.31660517024250606,0.5354116347276519,0.5341201414196354,0.25714974910461047,0.2530361917714381,0.1917540907576039,0.2418995690284262,0.5419149891079409,0.31638839709002087,0.4072022163887952,0.394655805291322,0.33606478635241516,0.3157411455242051,0.2676552670055468,0.6088344138214751,0.644306994448458,0.36386627716890185,-0.009231185053071845,-0.17734736422245367,-0.08671288724157922,0.34567881683974966,0.5860545493029373
axillaheight,0.004606016904537296,0.15188557750337223,0.9815809623726197,0.7919805465281594,0.32468380497154226,1.0,0.45317868792575855,0.6777595774483097,0.5182085448995059,0.2173601750771174,0.341990939183659,0.3223299903880052,0.49885034575761455,0.3158273840407967,0.285752875458717,0.16335571812469316,0.3429103590845101,0.22515972263233638,0.8627223355246098,0.7499329319511754,0.7455259071446049,0.30123207059584534,0.9705849870549477,0.2962016817999468,0.2305446279511553,0.20483256132191188,0.9227484413107131,0.8759847422238006,0.4201028606604188,0.3553693462161925,0.14945953202363532,0.17046641952055522,0.041600462490700915,0.09741544148041713,0.6558165476570049,0.38368925225559275,0.7120199477748379,0.7386548353548543,0.3289759025010182,0.27580079301827487,0.7679467294544244,0.8385125588581025,0.44359248743560953,0.4418598642562029,0.647397656604387,0.12258050654086622,0.2907885329008307,0.336905830578991,0.6315837889673656,0.25443997760110465,0.3432498690383597,0.33512735972782837,0.9295635266386133,0.2087628137448308,0.2200111554477156,0.32956584062081157,0.8675560768027094,0.8910628003798904,0.824273037302115,0.4189931315349246,0.2914820946067039,0.2683671889281964,0.2577519781668749,0.3519241846739175,0.7910503289802493,0.5932495626459813,0.8325092187654763,0.7079598009778334,0.43611901688287047,0.8148203739727452,0.3486004600759574,0.6756145713336292,0.7876363215767143,0.7996582308011537,0.8170015394367075,0.9675152269389773,0.9731522892146749,0.9514047984246086,0.2903045364732631,0.3009774185868979,0.6726860177024737,0.8744823827436524,0.156473861467184,0.8751571132038235,0.583597295418689,0.45339866927307876,0.23295504097786066,0.19497181366571825,0.13554616623802285,0.39626464243247655,0.9244900309246613,0.4958859997301934,0.5002797157026239,0.8647329135519429,0.030334602197362785,-0.19512272169377334,0.0003048236102538036,0.8914670862753724,0.4938825880512632
balloffootcircumference,0.0008970450831081913,0.3169269035661201,0.4686756369474937,0.39897090954659103,0.5902844710318486,0.45317868792575855,1.0,0.5684051912531475,0.4451309723516434,0.41740557592333644,0.3336067719509478,0.45372005463992543,0.6524158902907753,0.41989725519416327,0.3688839068260569,0.33197641790889176,0.43213258898811924,0.37162430179674655,0.41033991375905676,0.48350442640147834,0.3883326336767114,0.5575151029380214,0.4783121426468511,0.4193086963703846,0.3705446333626188,0.3360897908791404,0.4341370716181695,0.3949984258729823,0.3750986645793133,0.2514521547696035,0.12593458236547403,0.23284904885612262,0.054006026469049506,0.05352874162104884,0.3629795571124857,0.8589647127083425,0.6055296493559129,0.4622662034002205,0.5208270006557935,0.3957770564401706,0.48358363119146697,0.4733514670040099,0.6490690910011158,0.6912870248589779,0.5043030502415092,0.22709153130286147,0.36664932080394536,0.3540791206168263,0.7394863738730132,0.5575970101984322,0.3792089365063324,0.39322437502108404,0.44660839964102766,0.2749630244101761,0.29821563931022926,0.3506230753401071,0.43210319607128644,0.5235097347592839,0.42931919915011796,0.3506877875720248,0.4972792019188353,0.3132201645487257,0.4309177857588795,0.46150541451339216,0.440770438968488,0.4683963343414559,0.3584606717229039,0.40218883559418317,0.5282306329299595,0.40311538357112825,0.28504927716067646,0.3838553678086187,0.5228752015239208,0.4048093988089961,0.4783220788709557,0.48998043629616755,0.4976865731276412,0.4648628977117095,0.4311759079673907,0.46551512443304943,0.4232257249014649,0.43300974200354936,0.2172995697201109,0.42273221001993583,0.4851406762114454,0.32968081859086285,0.33882046900496776,0.33867856605342717,0.3017582134867041,0.3292698483298818,0.40696532736255125,0.5650525543137175,0.6640897846977509,0.40698232036813264,0.011187453563600836,-0.033147294966126964,0.05103354785285056,0.4628974821664061,0.5539587992478517
balloffootlength,0.0333914543821605,0.24191683526173832,0.6768991530103236,0.616667445755102,0.4139884912455256,0.6777595774483097,0.5684051912531475,1.0,0.49102467495124114,0.32644859699758344,0.28228172823458436,0.3869322769901198,0.5951521041586716,0.4579854438964877,0.37459726307173635,0.2568143486884503,0.3976405488511776,0.33354671122170754,0.6756869700929121,0.6944070308466085,0.6586562399768175,0.40715424882149304,0.6935806417227532,0.3178349202124567,0.2830462752533712,0.26046401425237403,0.6626226568913806,0.6902872106011028,0.3534646240752996,0.28146663125235033,0.1855776173249304,0.1913218897937149,0.009090893296091154,-0.09892603971877778,0.3575530471252624,0.5217208796958037,0.9396686617535708,0.7085064669921274,0.4262317422239426,0.31811289969296935,0.7675389316280966,0.6835764805795302,0.5006475951849201,0.5104679009889184,0.7382485217179194,0.18246801302767854,0.39510867530065413,0.39054509391922226,0.7787975501718795,0.5180663437552402,0.3484890844332283,0.3569714229693748,0.6971089247152608,0.335076058864653,0.28009903057628116,0.3731431145291212,0.701051453761281,0.753154526818192,0.6882747327243404,0.25743554504886423,0.40467386824943447,0.3317925267182344,0.35150241740458094,0.4163925076015461,0.5657450630621866,0.6782637141824936,0.6505209853510411,0.6495323079609183,0.504698238470268,0.6087898009255139,0.35432094965037597,0.3879239513135688,0.6977241830550251,0.6736404457915168,0.7228770907906592,0.6881479580571457,0.7022250315002988,0.6987817076121746,0.3767730540344164,0.3806033894431518,0.6176369420679989,0.6993330229961279,0.1872724269204979,0.6891133848200574,0.45417155739186543,0.3206643176397633,0.2535413411498693,0.2554777433070682,0.24752537698253532,0.26863179043756824,0.6716857349306794,0.5272926113660303,0.5417392322117011,0.523579223171768,0.011540350413521368,-0.02988500242080798,0.016835532279876456,0.6469258939013998,0.522848232722563
biacromialbreadth,-0.029601203453312352,0.22526123814805504,0.5116990323129998,0.47222526819886734,0.3269827771634474,0.5182085448995059,0.4451309723516434,0.49102467495124114,1.0,0.27751217487705415,0.2975994311673058,0.5623535718895123,0.4239042220803556,0.3962179178728837,0.310220790070505,0.28762539129286246,0.32999566336379943,0.24974281809490645,0.49045573389466407,0.4841007090648046,0.4313607989841942,0.3165534220414507,0.5645299922732857,0.42547854284265113,0.2890458922103937,0.2252231910013981,0.4706402020891942,0.47353017921956764,0.2964812538747699,0.23647856349842222,0.12603901466699788,0.16381770302286444,0.06029839523764524,-0.09793456962465456,0.4131079414113895,0.40999747890352123,0.5226114778528942,0.5352152523064265,0.379360809836249,0.3250738669785539,0.552255348202794,0.5140475732310168,0.4497855926798576,0.47267050653747805,0.5292435255030126,0.19398151993919827,0.32950355346613147,0.30825544558707774,0.5192467814785025,0.31043999552475815,0.3009026351313023,0.28747308368978336,0.5345344050544988,0.2484207540660821,0.40486541693306,0.6106443722084787,0.4921347800984298,0.5429268981380957,0.4586154380963586,0.23957748032308748,0.28885821421136904,0.27623248482633544,0.36218725743301594,0.4400730742268153,0.5955217115156426,0.4935588293905801,0.45696954302180387,0.49462479923789876,0.7066120769059514,0.5074345144664888,0.6988481182714132,0.4267597041336668,0.6819292224858806,0.5045192912413554,0.6563159036028497,0.5656020183580629,0.5558975277120755,0.5294664137200488,0.3127446790669654,0.317133549746895,0.4922574317451051,0.5050449977896352,0.14802655672560683,0.4844661192003833,0.406202991760706,0.31780573120412403,0.2533161223420055,0.2518267159345835,0.20781212066457216,0.2894040841416667,0.5154985743414622,0.45662358965623334,0.4875116389134127,0.3754536849361189,0.015884919510086064,-0.055074613226558204,-0.016117470719949074,0.5186617044591346,0.44228085512254167
bicepscircumferenceflexed,-0.010903484040830629,0.7297285332292981,0.27831751398074495,0.2768698870932696,0.4995699764036877,0.2173601750771174,0.41740557592333644,0.32644859699758344,0.27751217487705415,1.0,0.5390874427280545,0.7916353610976528,0.333221312210031,0.44551146696705274,0.4889161010226464,0.3467532545954843,0.7901991715480544,0.7750375649531882,0.2767710911002833,0.5373788273937722,0.3867920828317691,0.7173088914319131,0.25083793794994563,0.5905538735224535,0.7462030756412712,0.720156570365421,0.16361710977629068,0.1740201031540482,0.44570234882088494,0.2142740272721032,0.11682563774009772,0.17994781270552304,-0.02743547593697704,0.08890908293317269,0.1539635073911648,0.3999204164495441,0.32523808718381236,0.31739989696362736,0.8521324275217054,0.7489154225456697,0.29791922452981157,0.3669221957389533,0.40540843836536034,0.4668431865407681,0.3112977613680632,0.15515428001923628,0.2735472998843855,0.2575998570908527,0.49812034318033144,0.42815487181345663,0.687644972004772,0.7101346946426402,0.24745001716160825,0.18794075747296698,0.5337425241192223,0.4456387303598495,0.24551819337094516,0.33125168240457653,0.25169562748063895,0.1174556238883453,0.7680081340304339,0.2430164531403225,0.7029227120415971,0.6292792919721685,0.20822402455286051,0.2905043398431832,0.01839619036940048,0.24996591441083568,0.7150632567565055,0.21597747975976805,0.12291914206533558,0.1587372443023266,0.39927920581709725,0.24698389098705972,0.26836389751627554,0.24780372994714947,0.2949879300602902,0.2574299717492225,0.8158187333849402,0.7652295158315837,0.3142839042484552,0.2318333331590066,0.15170128065999264,0.23706189400768865,0.6388402359647969,0.40900330708261434,0.7171307491973631,0.7577190355583138,0.7305204357119167,0.4363744794443446,0.13124846715525557,0.8560674302771552,0.6005506544758981,0.26821094161045866,0.021042129600854956,-0.05515679870647881,0.268574584777795,0.24300942047749485,0.833521156000198
