chestcircumference,biacromialbreadth,weightkg,waistbreadth,t-shirt size
922,373,657,295,M
1008,384,782,302,XL
968,365,760,338,L
831,355,545,269,S
1065,406,990,326,2XL
1034,387,742,323,XL
1063,384,781,361,2XL
989,365,709,319,L
940,367,672,300,L
897,365,595,284,M
853,359,605,288,S
857,330,491,251,S
973,372,703,345,L
975,383,715,286,L
832,338,488,268,S
921,373,691,327,M
1032,386,730,337,XL
904,370,610,290,M
951,363,658,341,L
965,370,728,329,L
895,365,627,295,M
944,356,578,307,M
833,334,524,252,S
1060,373,894,374,XL
991,368,689,303,L
994,371,758,323,L
945,375,748,315,L
1094,395,806,345,2XL
793,340,477,249,XS
954,379,696,308,L
1014,373,678,319,XL
946,382,607,309,L
940,381,689,311,L
904,371,604,303,M
943,353,617,325,M
977,385,672,306,L
977,360,695,292,L
936,385,574,288,L
1065,394,815,330,2XL
900,359,645,289,M
862,341,557,265,S
896,360,614,300,M
943,380,668,295,L
1001,372,757,324,L
982,366,682,308,L
1031,380,786,317,XL
924,364,622,247,M
999,382,782,348,XL
865,337,608,270,S
930,370,686,300,M
979,361,773,344,L
852,361,555,271,S
1057,404,998,367,2XL
945,379,683,314,L
826,350,471,241,S
978,373,685,314,L
846,355,450,258,S
1022,387,721,323,XL
834,348,536,272,S
931,369,639,260,M
981,380,628,283,L
1052,377,752,359,XL
946,353,668,342,M
930,361,613,302,M
937,380,742,311,L
991,371,767,302,L
985,378,661,305,L
844,342,505,261,S
985,369,666,326,L
863,350,581,281,S
1057,384,797,346,2XL
874,359,614,295,S
992,364,679,300,L
838,350,622,269,S
899,372,573,267,M
828,356,507,258,S
1156,405,866,359,3XL
886,366,523,268,M
991,369,676,331,L
889,369,571,255,M
907,351,644,296,M
940,349,649,275,M
907,366,580,308,M
983,371,810,363,L
892,370,654,289,M
875,338,570,273,S
977,361,673,316,L
913,364,708,294,M
943,352,538,258,M
1032,382,771,306,XL
878,350,602,281,S
906,363,617,288,M
1028,385,739,331,XL
881,347,560,270,S
919,363,647,276,M
1130,405,953,333,3XL
1002,363,748,297,L
