,input,output,decoding,tokens_out,constraint_passed,notes
0,"Falling asleep to your favorite show doesn’t have to ruin your sleep, experts say",Sleep experts say it’s a good idea to fall asleep to your favorite show. They say it’s a great way to get a good night’s sleep.,beam_search,19,True,
1,"Falling asleep to your favorite show doesn’t have to ruin your sleep, experts say",Showtimes should avoid that fate. They say falling asleep and watching TV is a bad way,sampling,19,False,No period
2,Winding down to sleep,I woke up with a sigh of relief and a sigh of relief that I had a good night's sleep. Then I woke up with a sigh of relief that I had a,beam_search,6,False,No period
3,Winding down to sleep,By the tree by my bed. You are the one who is on fire with your horn.,sampling,6,True,
4,"The key to listening to audiobooks, podcasts, music or TV to fall asleep is making sure it is helping you wind down instead of waking you up, said Dr. Shalini Paruthi, sleep medicine attending physician at John J. Cochran Veterans Hospital in St. Louis and adjunct professor at St. Louis University School of Medicine.","Dr. Shalini Paruthi, a sleep medicine attending physician at John J. Cochran Veterans Hospital in St. Louis, said the key to falling asleep is making sure it is helping you wind down instead of waking you up.",beam_search,72,True,
5,"The key to listening to audiobooks, podcasts, music or TV to fall asleep is making sure it is helping you wind down instead of waking you up, said Dr. Shalini Paruthi, sleep medicine attending physician at John J. Cochran Veterans Hospital in St. Louis and adjunct professor at St. Louis University School of Medicine.","After your mind’s not in good order, your brain can be overwhelmed by noise and the ",sampling,72,False,No period
6,"“If listening to something actually keeps a person more engaged or awake and therefore replaces sleep time, this can be detrimental to health,” she said in an email. “It is recommended that adults obtain at least 7 hours of sleep regularly for optimal performance.”",The Associated Press reported in a statement that a study published in the Journal of the American Medical Association found that people who listen to music during the day are more likely to be awake and alert than those who sleep during the night.,beam_search,54,True,
7,"“If listening to something actually keeps a person more engaged or awake and therefore replaces sleep time, this can be detrimental to health,” she said in an email. “It is recommended that adults obtain at least 7 hours of sleep regularly for optimal performance.”","Kate Maynard calls on the CEO to stop “pop-up radio stations,” and the industry",sampling,54,False,No period
8,"On the other hand, a predictable kind of noise can help tell your body it’s time to wind down, Salas added.","Then, if you’re able to make a noise like this, you’ll be able to tell your body that it’s time to wind down.",beam_search,29,True,
9,"On the other hand, a predictable kind of noise can help tell your body it’s time to wind down, Salas added.","When you say 'let's get cool off', people will think, 'this",sampling,29,False,No period
